Time (s),ECT (uS/cm),Temperature (C)
617,259,76.5
618,259,76.5
619,259,76.5
620,259,76.5
621,259,76.5
622,258,76.5
623,258,76.5
624,259,76.5
625,258,76.5
626,258,76.5
627,259,76.5
628,258,76.5
629,258,76.5
630,259,76.5
631,258,76.5
632,259,76.5
633,259,76.5
634,258,76.5
635,259,76.5
636,259,76.5
637,258,76.5
638,259,76.5
639,259,76.5
640,258,76.5
641,259,76.5
642,259,76.5
643,258,76.5
644,259,76.5
645,259,76.5
646,258,76.5
647,258,76.5
648,259,76.5
649,258,76.5
650,259,76.5
651,259,76.5
652,258,76.5
653,259,76.5
654,259,76.5
655,258,76.5
656,259,76.5
657,259,76.5
658,258,76.5
659,259,76.5
660,259,76.5
661,258,76.5
662,259,76.5
663,259,76.5
664,258,76.5
665,259,76.5
666,259,76.5
667,258,76.5
668,259,76.5
669,259,76.5
670,258,76.5
671,259,76.5
672,259,76.5
673,258,76.5
674,258,76.5
675,258,76.5
676,258,76.5
677,258,76.5
678,258,76.5
679,258,76.5
680,258,76.5
681,258,76.5
682,258,76.5
683,258,76.5
684,258,76.5
685,258,76.5
686,258,76.5
687,258,76.5
688,258,76.5
689,258,76.5
690,258,76.5
691,258,76.5
692,258,76.5
693,258,76.5
694,258,76.5
695,258,76.5
696,259,76.5
697,258,76.5
698,258,76.5
699,258,76.5
700,258,76.5
701,258,76.5
702,258,76.5
703,258,76.5
704,258,76.5
705,258,76.5
706,258,76.5
707,258,76.5
708,258,76.5
709,258,76.5
710,258,76.5
711,258,76.5
712,258,76.5
713,258,76.5
714,258,76.5
715,258,76.5
716,258,76.5
717,258,76.5
718,258,76.5
719,258,76.5
720,258,76.5
721,258,76.5
722,258,76.5
723,258,76.5
724,258,76.5
725,258,76.5
726,258,76.5
727,258,76.5
728,258,76.5
729,258,76.5
730,258,76.5
731,258,76.5
732,258,76.5
733,258,76.5
734,258,76.5
735,258,76.5
736,258,76.5
737,258,76.5
738,258,76.5
739,258,76.5
740,258,76.5
741,258,76.5
742,258,76.5
